Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8999,09,036000,003,3282,3280,1,1,12,12,Newington town,17,17,2054000,0,0,0,0,0,0,0,0,0,17,17,2054000,0,0,0,0,0,0,0,0,0
8999,09,036500,011,5520,9999,1,1,12,12,New London,28,28,884140,0,0,0,0,0,0,0,0,40000,28,28,884140,0,0,0,0,0,0,0,0,40000
8999,09,036700,005,5602,1930,1,1,12,12,New Milford town,98,98,7584419,0,0,0,3,12,675000,2,18,483840,98,98,7584419,0,0,0,3,12,675000,2,18,483840
8999,09,037000,001,5602,1930,1,1,12,12,Newtown town,61,61,9161503,0,0,0,0,0,0,0,0,0,61,61,9161503,0,0,0,0,0,0,0,0,0
8999,09,037100,005,9999,9999,1,1,12,12,Norfolk town,7,7,568000,0,0,0,0,0,0,0,0,0,7,7,568000,0,0,0,0,0,0,0,0,0
8999,09,037200,009,5480,9999,1,1,12,12,North Branford town,27,27,2398700,0,0,0,0,0,0,3,22,874500,27,27,2398700,0,0,0,0,0,0,3,22,874500
8999,09,037350,005,9999,9999,1,1,7,7,North Canaan town,11,11,796108,0,0,0,1,3,58500,0,0,0,7,7,451300,0,0,0,0,0,0,0,0,0
8999,09,037500,009,5480,9999,1,1,12,12,North Haven town,71,71,8525700,1,2,240000,0,0,0,0,0,0,71,71,8525700,1,2,240000,0,0,0,0,0,0
8999,09,037800,011,5520,9999,1,1,12,12,North Stonington town,19,19,1576580,0,0,0,0,0,0,0,0,0,19,19,1576580,0,0,0,0,0,0,0,0,0
8999,09,038000,001,5602,5760,1,1,12,12,Norwalk,40,40,5490261,5,10,603110,1,4,200000,13,107,5692754,40,40,5490261,5,10,603110,1,4,200000,13,107,5692754
8999,09,038500,011,5520,9999,1,1,12,12,Norwich,41,41,3048000,2,4,342560,1,4,125000,1,5,510000,41,41,3048000,2,4,342560,1,4,125000,1,5,510000
8999,09,039000,011,5520,9999,1,1,12,12,Old Lyme town,22,22,3207056,0,0,0,0,0,0,0,0,0,22,22,3207056,0,0,0,0,0,0,0,0,0
8999,09,039500,007,9999,9999,1,1,12,12,Old Saybrook town,22,22,3103800,0,0,0,0,0,0,0,0,0,22,22,3103800,0,0,0,0,0,0,0,0,0
8999,09,040000,009,5480,9999,1,1,12,12,Orange town,16,16,2057900,0,0,0,0,0,0,0,0,0,16,16,2057900,0,0,0,0,0,0,0,0,0
8999,09,040500,009,5602,1160,1,1,12,12,Oxford town,45,45,7352300,0,0,0,0,0,0,0,0,0,45,45,7352300,0,0,0,0,0,0,0,0,0
8999,09,041000,015,9999,9999,1,1,12,12,Plainfield town,60,60,4451700,0,0,0,0,0,0,1,24,810000,60,60,4451700,0,0,0,0,0,0,1,24,810000
