Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,01,263000,025,0950,999,99999, ,36545      ,3,6,12,,Jackson,3,3,417000,0,0,0,0,0,0,6,40,3000000,3,3,417000,0,0,0,0,0,0,6,40,3000000
2003,01,266000,015,0955,999,11500, ,36265      ,3,6,12,,Jacksonville,51,51,5708700,0,0,0,0,0,0,0,0,0,51,51,5708700,0,0,0,0,0,0,0,0,0
2003,01,267000,127,0960,142,13820, ,35501      ,3,6,12,,Jasper,43,43,4726000,0,0,0,0,0,0,0,0,0,43,43,4726000,0,0,0,0,0,0,0,0,0
2003,01,268000,073,    ,142,13820, ,35203      ,3,6,12,,Jefferson County Unincorporated Area,964,964,105824318,0,0,0,0,0,0,25,321,15444900,964,964,105824318,0,0,0,0,0,0,25,321,15444900
2003,01,269000,021,0965,142,13820, ,35085      ,3,6,12,,Jemison town,4,4,450000,0,0,0,0,0,0,0,0,0,4,4,450000,0,0,0,0,0,0,0,0,0
2003,01,272000,077,0980,999,22520, ,35645      ,3,6,12,,Killen town,9,9,1173259,1,2,145953,0,0,0,0,0,0,9,9,1173259,1,2,145953,0,0,0,0,0,0
2003,01,273000,073,0985,142,13820, ,35091      ,3,6,12,,Kimberly town,40,40,5343900,0,0,0,0,0,0,0,0,0,40,40,5343900,0,0,0,0,0,0,0,0,0
2003,01,274000,069,0990,222,20020, ,36303      ,3,6,12,,Kinsey town,10,10,600000,0,0,0,0,0,0,0,0,0,10,10,600000,0,0,0,0,0,0,0,0,0
2003,01,276000,017,1000,999,99999, ,36862      ,3,6,0,,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,276900,125,1003,999,46220, ,35111      ,3,6,12,,Lake View town,22,22,3079117,0,0,0,0,0,0,0,0,0,22,22,3079117,0,0,0,0,0,0,0,0,0
2003,01,279000,017,1005,999,99999, ,36863      ,3,6,12,,Lanett,2,2,495000,0,0,0,0,0,0,0,0,0,2,2,495000,0,0,0,0,0,0,0,0,0
