Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,09,365000,007,    ,3280,9999, ,06455      ,1,1,12,,Middlefield town,12,12,1819214,0,0,0,0,0,0,0,0,0,12,12,1819214,0,0,0,0,0,0,0,0,0
2002,09,369000,007,1250,3280,9999,1,06457      ,1,1,0,,Middletown,93,93,6067426,0,0,0,0,0,0,16,98,1270577,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,377000,009,    ,5602,1160, ,06460      ,1,1,12,,Milford,121,121,18780078,0,0,0,1,4,255300,0,0,0,121,121,18780078,0,0,0,1,4,255300,0,0,0
2002,09,381000,001,    ,5602,1160, ,06468      ,1,1,12,,Monroe town,36,36,7233000,0,0,0,0,0,0,0,0,0,36,36,7233000,0,0,0,0,0,0,0,0,0
2002,09,385000,011,    ,5520,9999, ,06382      ,1,1,12,,Montville town,83,83,15599364,1,2,100520,0,0,0,0,0,0,83,83,15599364,1,2,100520,0,0,0,0,0,0
2002,09,389000,005,    ,9999,9999, ,06763      ,1,1,6,,Morris town,13,13,2228729,0,0,0,0,0,0,0,0,0,2,2,1006167,0,0,0,0,0,0,0,0,0
2002,09,393000,009,1370,5602,8880, ,06770      ,1,1,12,,Naugatuck borough,66,66,6305378,0,0,0,0,0,0,0,0,0,66,66,6305378,0,0,0,0,0,0,0,0,0
2002,09,397000,003,1390,3280,9999, ,06051      ,1,1,12,,New Britain,53,53,3969000,0,0,0,0,0,0,0,0,0,53,53,3969000,0,0,0,0,0,0,0,0,0
2002,09,401000,001,    ,5602,8040, ,06840      ,1,1,12,,New Canaan town,59,59,47320000,0,0,0,0,0,0,0,0,0,59,59,47320000,0,0,0,0,0,0,0,0,0
2002,09,405000,001,    ,5602,1930, ,06812      ,1,1,12,,New Fairfield town,23,23,3571709,0,0,0,0,0,0,0,0,0,23,23,3571709,0,0,0,0,0,0,0,0,0
2002,09,409000,005,    ,3280,9999, ,06057      ,1,1,12,,New Hartford town,61,61,7670898,0,0,0,0,0,0,0,0,0,61,61,7670898,0,0,0,0,0,0,0,0,0
2002,09,413000,009,1450,5602,5480,1,06510      ,1,1,12,,New Haven,35,35,2429000,6,12,478000,0,0,0,1,12,644000,35,35,2429000,6,12,478000,0,0,0,1,12,644000
2002,09,417000,011,1480,5520,9999,1,06320      ,1,1,3,,New London,8,8,545000,0,0,0,0,0,0,0,0,0,8,8,545000,0,0,0,0,0,0,0,0,0
2002,09,421000,005,    ,5602,1930, ,06776      ,1,1,12,,New Milford town,136,136,22898084,1,2,166256,0,0,0,0,0,0,136,136,22898084,1,2,166256,0,0,0,0,0,0
2002,09,425000,003,    ,3280,9999, ,06111      ,1,1,12,,Newington town,51,51,5960000,0,0,0,0,0,0,0,0,0,51,51,5960000,0,0,0,0,0,0,0,0,0
2002,09,433000,001,    ,5602,1930, ,06470      ,1,1,12,,Newtown town,195,195,48085258,0,0,0,0,0,0,0,0,0,195,195,48085258,0,0,0,0,0,0,0,0,0
2002,09,437000,005,    ,9999,9999, ,06058      ,1,1,12,,Norfolk town,2,2,400000,0,0,0,0,0,0,0,0,0,2,2,400000,0,0,0,0,0,0,0,0,0
2002,09,441000,009,    ,5602,5480, ,06471      ,1,1,12,,North Branford town,39,39,4694094,0,0,0,0,0,0,0,0,0,39,39,4694094,0,0,0,0,0,0,0,0,0
2002,09,445000,005,    ,9999,9999, ,06018      ,1,1,12,,North Canaan town,5,5,1381000,0,0,0,0,0,0,0,0,0,5,5,1381000,0,0,0,0,0,0,0,0,0
2002,09,449000,009,    ,5602,5480, ,06473      ,1,1,12,,North Haven town,46,46,5172392,0,0,0,0,0,0,0,0,0,46,46,5172392,0,0,0,0,0,0,0,0,0
2002,09,453000,011,    ,5520,9999, ,06359      ,1,1,12,,North Stonington town,32,32,4231130,0,0,0,0,0,0,0,0,0,32,32,4231130,0,0,0,0,0,0,0,0,0
2002,09,457000,001,1630,5602,8040,1,068565125  ,1,1,12,,Norwalk,65,65,15648600,6,12,537500,1,4,365000,2,40,1265000,65,65,15648600,6,12,537500,1,4,365000,2,40,1265000
2002,09,461000,011,1650,5520,9999,1,06360      ,1,1,12,,Norwich,49,49,4270560,5,10,405000,0,0,0,4,89,4108126,49,49,4270560,5,10,405000,0,0,0,4,89,4108126
2002,09,469000,011,    ,5520,9999, ,06371      ,1,1,12,,Old Lyme town,41,41,12072263,0,0,0,0,0,0,0,0,0,41,41,12072263,0,0,0,0,0,0,0,0,0
2002,09,473000,007,    ,5520,9999, ,06475      ,1,1,12,,Old Saybrook town,31,31,6496925,0,0,0,0,0,0,0,0,0,31,31,6496925,0,0,0,0,0,0,0,0,0
2002,09,477000,009,    ,5602,5480, ,06477      ,1,1,12,,Orange town,60,60,14834145,0,0,0,0,0,0,0,0,0,60,60,14834145,0,0,0,0,0,0,0,0,0
2002,09,481000,009,    ,5602,1160, ,06478      ,1,1,12,,Oxford town,96,96,14299500,0,0,0,0,0,0,0,0,0,96,96,14299500,0,0,0,0,0,0,0,0,0
2002,09,485000,015,    ,5520,9999, ,06374      ,1,1,12,,Plainfield town,59,59,4989800,0,0,0,1,4,125000,0,0,0,59,59,4989800,0,0,0,1,4,125000,0,0,0
2002,09,489000,003,    ,3280,9999, ,06062      ,1,1,12,,Plainville town,36,36,3695322,0,0,0,0,0,0,0,0,0,36,36,3695322,0,0,0,0,0,0,0,0,0
2002,09,493000,005,    ,3280,9999, ,06786      ,1,1,12,,Plymouth town,44,44,5784000,0,0,0,0,0,0,1,5,178000,44,44,5784000,0,0,0,0,0,0,1,5,178000
2002,09,497000,015,    ,9999,9999, ,06259      ,1,1,12,,Pomfret town,25,25,3787000,0,0,0,1,4,236000,0,0,0,25,25,3787000,0,0,0,1,4,236000,0,0,0
2002,09,501000,007,    ,3280,9999, ,06480      ,1,1,12,,Portland town,55,55,6751404,1,2,200000,1,3,307000,0,0,0,55,55,6751404,1,2,200000,1,3,307000,0,0,0
2002,09,505000,011,    ,5520,9999, ,06360      ,1,1,12,,Preston town,21,21,3475146,0,0,0,0,0,0,0,0,0,21,21,3475146,0,0,0,0,0,0,0,0,0
2002,09,509000,009,    ,5602,8880, ,06712      ,1,1,12,,Prospect town,31,31,5147000,0,0,0,0,0,0,0,0,0,31,31,5147000,0,0,0,0,0,0,0,0,0
2002,09,513000,015,    ,9999,9999, ,06260      ,1,1,12,,Putnam town,12,12,1088228,0,0,0,0,0,0,0,0,0,12,12,1088228,0,0,0,0,0,0,0,0,0
