Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202207,350,21060,C,Elizabethtown-Fort Knox  KY ,315,315,79128,19,38,4345,1,3,165,0,0,0,246,246,61421,17,34,3945,1,3,165,0,0,0
202207,350,31140,C,Louisville-Jefferson County  KY-IN ,2272,2272,646420,23,46,8910,0,0,0,14,267,24382,1340,1340,436956,14,28,5982,0,0,0,4,74,8110
202207,352,31180,C,Lubbock  TX ,1438,1438,356209,111,222,31731,7,28,4051,14,212,21007,1424,1424,353092,110,220,31431,7,28,4051,14,212,21007
202207,356,31420,C,Macon-Bibb County  GA ,357,357,74205,0,0,0,0,0,0,0,0,0,113,113,25405,0,0,0,0,0,0,0,0,0
202207,356,47580,C,Warner Robins  GA ,1089,1089,185949,0,0,0,0,0,0,10,212,26797,916,916,145499,0,0,0,0,0,0,10,212,26797
202207,357,27500,C,Janesville-Beloit  WI ,209,209,55031,12,24,4670,0,0,0,4,114,40907,119,119,33118,12,24,4670,0,0,0,1,76,36000
202207,357,31540,C,Madison  WI ,951,951,403701,48,96,23008,4,15,4000,42,1882,304233,694,694,320422,24,48,11666,4,15,4000,30,1604,259294
202207,359,31860,C,Mankato  MN ,135,135,41918,9,18,1320,2,6,1596,11,202,27981,39,39,15009,9,18,1320,0,0,0,0,0,0
202207,360,31900,C,Mansfield  OH ,78,78,24198,3,6,742,10,40,5491,6,68,8512,56,56,16975,1,2,342,9,36,5199,5,63,7983
202207,365,32580,C,McAllen-Edinburg-Mission  TX ,2712,2712,587441,74,148,12803,158,628,41405,25,351,30978,2056,2056,470395,57,114,10744,144,573,39844,25,351,30978
202207,366,24420,C,Grants Pass  OR ,158,158,35007,11,22,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202207,366,32780,C,Medford  OR ,452,452,127430,6,12,2211,8,31,2984,12,137,19010,393,393,114972,6,12,2211,3,11,1704,5,98,13766
202207,368,32820,C,Memphis  TN-MS-AR ,2433,2433,585577,1,2,650,0,0,0,13,522,44645,2115,2115,520366,1,2,650,0,0,0,11,512,43428
202207,370,33100,C,Miami-Fort Lauderdale-Pompano Beach  FL ,4412,4412,1988656,74,148,27474,21,78,16040,189,7990,1419702,3780,3780,1693085,74,148,27474,19,72,13746,115,6855,1263664
202207,370,38940,C,Port St. Lucie  FL ,3307,3307,871691,80,160,21323,29,89,10020,104,2116,296000,3150,3150,824614,77,154,20318,29,89,10020,100,2071,289534
202207,370,42680,C,Sebastian-Vero Beach  FL ,694,694,336431,8,16,2580,3,9,606,0,0,0,128,128,35612,0,0,0,0,0,0,0,0,0
202207,372,33260,C,Midland  TX ,345,345,75046,0,0,0,0,0,0,0,0,0,345,345,75046,0,0,0,0,0,0,0,0,0
202207,372,36220,C,Odessa  TX ,627,627,158998,1,2,224,0,0,0,1,5,599,0,0,0,0,0,0,0,0,0,0,0,0
202207,376,33340,C,Milwaukee-Waukesha  WI ,954,954,441572,92,184,43293,0,0,0,24,879,150924,620,620,285053,83,166,39390,0,0,0,18,817,143692
202207,376,39540,C,Racine  WI ,84,84,34815,6,12,2095,0,0,0,0,0,0,79,79,33370,6,12,2095,0,0,0,0,0,0
202207,378,33460,C,Minneapolis-St. Paul-Bloomington  MN-WI ,6247,6247,2091767,27,54,12930,34,126,30211,166,9923,1816456,5563,5563,1861711,26,52,12530,32,120,28926,122,8683,1628144
202207,378,41060,C,St. Cloud  MN ,304,304,91158,7,14,2039,0,0,0,0,0,0,153,153,49014,0,0,0,0,0,0,0,0,0
202207,380,19300,C,Daphne-Fairhope-Foley  AL ,1958,1958,548986,2,4,425,0,0,0,5,56,4311,1254,1254,390184,2,4,425,0,0,0,0,0,0
202207,380,33660,C,Mobile  AL ,503,503,122755,0,0,0,3,12,1365,0,0,0,200,200,52063,0,0,0,3,12,1365,0,0,0
202207,384,33740,C,Monroe  LA ,264,264,60912,3,6,223,8,27,4245,13,80,9499,51,51,12083,0,0,0,0,0,0,0,0,0
202207,388,33860,C,Montgomery  AL ,576,576,147342,0,0,0,0,0,0,0,0,0,567,567,145469,0,0,0,0,0,0,0,0,0
202207,390,34060,C,Morgantown  WV ,7,7,1002,0,0,0,0,0,0,0,0,0,1,1,75,0,0,0,0,0,0,0,0,0
202207,396,34820,C,Myrtle Beach-Conway-North Myrtle Beach  SC-NC ,7035,7035,1635144,17,34,3425,3,9,1003,17,339,38947,5221,5221,1114439,16,32,3200,3,9,1003,9,295,36747
