Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 
9099  ,     01  , 119  , 3  , 6  , Sumter County  , 11  , 11  , 415140  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 24  , 700000  , 7  , 7  , 295140  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 24  , 700000
9099  ,     01  , 121  , 3  , 6  , Talladega County  , 54  , 54  , 3020880  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 54  , 54  , 3020880  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 123  , 3  , 6  , Tallapoosa County  , 67  , 67  , 3741750  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 48  , 978336  , 67  , 67  , 3741750  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 48  , 978336
9099  ,     01  , 125  , 3  , 6  , Tuscaloosa County  , 469  , 469  , 24204817  , 16  , 32  , 651574  , 1  , 4  , 58080  , 27  , 381  , 8706536  , 469  , 469  , 24204817  , 16  , 32  , 651574  , 1  , 4  , 58080  , 27  , 381  , 8706536
9099  ,     01  , 127  , 3  , 6  , Walker County  , 36  , 36  , 3612100  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 36  , 36  , 3612100  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 129  , 3  , 6  , Washington County  , 1  , 1  , 55000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 131  , 3  , 6  , Wilcox County  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 133  , 3  , 6  , Winston County  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 16  , 200000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 2  , 16  , 200000
9099  ,     02  , 013  , 4  , 9  , Aleutians East Borough  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 016  , 4  , 9  , Aleutians West Census Area  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 020  , 4  , 9  , Anchorage Borough  , 399  , 399  , 62476412  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 399  , 399  , 62476412  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 050  , 4  , 9  , Bethel Census Area  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
