Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,04,285000,012,0283,9999,9999, ,85346      ,4,8,12,,Quartzsite town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,289000,013,0284,6200,9999, ,852429311  ,4,8,12,,Queen Creek town,181,181,36900652,0,0,0,0,0,0,0,0,0,181,181,36900652,0,0,0,0,0,0,0,0,0
2001,04,293000,009,0290,9999,9999, ,85546      ,4,8,12,,Safford,9,9,798000,0,0,0,0,0,0,0,0,0,9,9,798000,0,0,0,0,0,0,0,0,0
2001,04,297000,027,0299,9360,9999, ,85349      ,4,8,12,,San Luis,245,245,12585761,0,0,0,0,0,0,0,0,0,245,245,12585761,0,0,0,0,0,0,0,0,0
2001,04,301000,023,    ,9999,9999, ,85621      ,4,8,12,,Santa Cruz County Unincorporated Area,278,278,29998723,0,0,0,1,4,194400,0,0,0,278,278,29998723,0,0,0,1,4,194400,0,0,0
2001,04,305000,013,0305,6200,9999,1,85251      ,4,8,12,,Scottsdale,1672,1672,412175340,7,14,1293770,63,221,22631444,70,734,64150235,1672,1672,412175340,7,14,1293770,63,221,22631444,70,734,64150235
2001,04,313000,025,0307,9999,9999, ,86336      ,4,8,12,,Sedona,96,96,17255386,0,0,0,1,4,346668,5,48,2656695,96,96,17255386,0,0,0,1,4,346668,5,48,2656695
2001,04,317000,017,0313,9999,9999, ,85901      ,4,8,12,,Show Low,116,116,12799056,0,0,0,0,0,0,0,0,0,116,116,12799056,0,0,0,0,0,0,0,0,0
2001,04,321000,003,0315,9999,9999, ,85635      ,4,8,12,,Sierra Vista,302,302,21919477,0,0,0,0,0,0,0,0,0,302,302,21919477,0,0,0,0,0,0,0,0,0
2001,04,325000,017,0320,9999,9999, ,85937      ,4,8,0,,Snowflake town,12,12,1230791,0,0,0,0,0,0,1,5,219682,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,329000,027,0325,9360,9999, ,85350      ,4,8,12,,Somerton,79,79,5408921,0,0,0,0,0,0,0,0,0,79,79,5408921,0,0,0,0,0,0,0,0,0
2001,04,333000,019,0340,8520,9999, ,85725      ,4,8,0,,South Tucson,11,11,525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
