Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep,
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8499,4,17000,13,6200,,4,8,12,12,WICKENBURG TOWN. . . . . . . . . .,27,27,969520,1,2,54000,0,0,0,10,68,1769360,27,27,969520,1,2,54000,0,0,0,10,68,1769360
8499,4,17500,3,9999,,4,8,12,12,WILLCOX. . . . . . . . . . . . . .,1,1,50000,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,0,0,0,0
8499,4,18000,5,9999,,4,8,9,9,WILLIAMS . . . . . . . . . . . . .,16,16,755188,4,8,315978,0,0,0,0,0,0,14,14,613996,4,8,315978,0,0,0,0,0,0
8499,4,18500,17,9999,,4,8,12,12,WINSLOW. . . . . . . . . . . . . .,19,19,1118700,0,0,0,0,0,0,0,0,0,19,19,1118700,0,0,0,0,0,0,0,0,0
8499,4,18700,25,9999,,4,8,12,12,YAVAPAI CO. UNINC. AREA. . . . . .,921,921,42891914,17,34,855000,11,38,951000,7,91,1562000,921,921,42891914,17,34,855000,11,38,951000,7,91,1562000
8499,4,18900,13,6200,,4,8,12,12,YOUNGTOWN TOWN . . . . . . . . . .,8,8,329000,0,0,0,2,8,230000,0,0,0,8,8,329000,0,0,0,2,8,230000,0,0,0
8499,4,19000,27,9999,,4,8,12,12,YUMA . . . . . . . . . . . . . . .,167,167,9243624,2,4,142464,10,33,1006610,5,66,1775194,167,167,9243624,2,4,142464,10,33,1006610,5,66,1775194
8499,4,19200,27,9999,,4,8,12,12,YUMA CO. UNINC. AREA . . . . . . .,255,255,15047249,6,12,357482,1,4,40534,0,0,0,255,255,15047249,6,12,357482,1,4,40534,0,0,0
8499,6,250,71,6780,,4,9,12,12,ADELANTO . . . . . . . . . . . . .,38,38,1478049,3,6,172140,14,51,1244188,10,88,1572120,38,38,1478049,3,6,172140,14,51,1244188,10,88,1572120
8499,6,300,37,4480,,4,9,12,12,AGOURA HILLS . . . . . . . . . . .,133,133,23373100,0,0,0,11,39,2707000,8,54,3682000,133,133,23373100,0,0,0,11,39,2707000,8,54,3682000
8499,6,500,1,5775,,4,9,12,12,ALAMEDA. . . . . . . . . . . . . .,392,392,36709200,2,4,165000,0,0,0,0,0,0,392,392,36709200,2,4,165000,0,0,0,0,0,0
8499,6,1000,1,5775,,4,9,12,12,ALAMEDA CO. UNINC. AREA. . . . . .,302,302,33583455,0,0,0,7,25,1166600,17,139,6175000,302,302,33583455,0,0,0,7,25,1166600,17,139,6175000
8499,6,1500,1,5775,,4,9,12,12,ALBANY . . . . . . . . . . . . . .,7,7,1033355,0,0,0,2,7,420000,0,0,0,7,7,1033355,0,0,0,2,7,420000,0,0,0
8499,6,2000,37,4480,,4,9,12,12,ALHAMBRA . . . . . . . . . . . . .,10,10,548100,2,4,198200,10,35,1662750,24,172,9286255,10,10,548100,2,4,198200,10,35,1662750,24,172,9286255
8499,6,2100,3,9999,,4,9,12,12,ALPINE COUNTY. . . . . . . . . . .,11,11,1428347,0,0,0,0,0,0,0,0,0,11,11,1428347,0,0,0,0,0,0,0,0,0
8499,6,2500,5,9999,,4,9,12,12,AMADOR CITY. . . . . . . . . . . .,2,2,108474,0,0,0,0,0,0,0,0,0,2,2,108474,0,0,0,0,0,0,0,0,0
8499,6,3000,5,9999,,4,9,12,12,AMADOR BAL. OF CO. #. . . . . . .,206,206,13923517,2,4,187546,1,4,133562,1,26,1687907,206,206,13923517,2,4,187546,1,4,133562,1,26,1687907
