"CMAPuid","CMAdguid","CMAname","CMApart","CMApop_2021","CMAtdwell_2021","CMAurdwell_2021","CMApop_2016","CMApop_2016a","CMAtdwell_2016a","CMAurdwell_2016a","CMAarea","CMAadj_2016","CMAir_2016","CMAir_2021","PRuid","CMAcode","CMAtype","XPRuid"
"24440","2021S0504440","Victoriaville","0",52936,25279,23910,49151,51336,23492,22655,"378.103","1","0","0","24","440","D",
"24442","2021S0503442","Trois-Rivières","0",161489,80767,76635,156042,156042,77734,72502,"1038.6392","0","0","0","24","442","B",
"24444","2021S0504444","Shawinigan","0",49620,27444,25060,54181,49349,26953,24410,"729.9823","1","0","0","24","444","D",
"24447","2021S0503447","Drummondville","0",101610,47323,45697,96118,97149,44634,42686,"1094.3642","1","0","0","24","447","B",
"24450","2021S0504450","Granby","0",90833,43360,41097,85056,85056,40131,37773,"494.1004","0","0","0","24","450","K",
"24452","2021S0504452","Saint-Hyacinthe","0",59980,29215,27960,59614,58201,28059,26472,"259.3757","1","0","0","24","452","K",
"24454","2021S0504454","Sorel-Tracy","0",41934,21173,20309,41629,41629,20856,19657,"170.3051","0","0","0","24","454","D",
"24456","2021S0504456","Joliette","0",52706,25714,24565,49439,49439,23392,22478,"108.6636","0","0","0","24","456","D",
"24462","2021S0503462","Montréal","0",4291732,1929263,1835698,4098927,4104074,1825380,1729342,"4670.098","1","1","1","24","462","B",
"24465","2021S0504465","Salaberry-de-Valleyfield","0",42787,20962,20073,40745,40745,19356,18623,"108.5609","0","0","0","24","465","D",
"24467","2021S0504467","Sainte-Agathe-des-Monts","0",19892,12071,9669,,18010,11664,8648,"210.9639","1","0","0","24","467","D",
"24468","2021S0504468","Lachute","0",14100,6862,6531,12862,12862,6403,5983,"108.6571","0","0","0","24","468","D",
"24480","2021S0504480","Val-d'Or","0",34037,16227,15375,33871,33871,15674,14877,"3539.976","0","0","0","24","480","D",
"24481","2021S0504481","Amos","0",18873,8762,8248,,18872,8488,7974,"2298.1551","1","0","0","24","481","D",
"24485","2021S0504485","Rouyn-Noranda","0",42313,20874,19282,42334,42334,20568,18851,"5963.5674","0","0","0","24","485","D",
"35501","2021S0504501","Cornwall","0",61415,27797,26798,59699,59699,26936,26082,"509.2145","0","0","0","35","501","D",
"35502","2021S0504502","Hawkesbury","1",12010,6259,5983,11974,11974,6093,5748,"12.9137","0","0","0","35","502","D","24"
"35505","2021S0503505","Ottawa - Gatineau","1",1488307,638013,604721,1323783,1371576,591830,554904,"8046.9902","1","0","0","35","505","B","24"
"35512","2021S0504512","Brockville","0",31661,15117,14438,38553,31200,14814,14003,"576.8673","1","0","0","35","512","D",
"35515","2021S0504515","Pembroke","0",23814,10765,10257,23269,23269,10562,9915,"553.4027","0","0","0","35","515","D",
"35516","2021S0504516","Petawawa","0",18160,7174,6762,17187,17187,6747,6334,"164.6985","0","0","0","35","516","D",
"35521","2021S0503521","Kingston","0",172546,80955,73506,161175,161175,77173,67915,"1919.1686","0","0","0","35","521","B",
"35522","2021S0503522","Belleville - Quinte West","0",111184,48274,46213,103472,103401,45023,42979,"1337.4982","1","0","0","35","522","B",
"35527","2021S0504527","Cobourg","0",20519,9520,9134,19440,19440,8958,8639,"22.4072","0","0","0","35","527","D",
"35528","2021S0504528","Port Hope","0",17294,7607,7318,16753,16753,7305,7075,"278.8012","0","0","0","35","528","D",
"35529","2021S0503529","Peterborough","0",128624,57761,53370,121721,121721,55662,50533,"1508.4421","0","0","0","35","529","B",
"35530","2021S0504530","Kawartha Lakes","0",79247,38947,32708,75423,75423,38444,31106,"3033.6568","0","0","0","35","530","D",
"35531","2021S0504531","Centre Wellington","0",31093,12701,11972,28191,28191,11499,10823,"409.4129","0","0","0","35","531","D",
"35532","2021S0503532","Oshawa","0",415311,153565,149047,379848,379848,142462,138962,"903.2512","0","0","0","35","532","B",
"35533","2021S0504533","Ingersoll","0",13693,5627,5467,12757,12757,5192,5088,"12.7337","0","0","0","35","533","D",
"35535","2021S0503535","Toronto","0",6202225,2394205,2262473,5928040,5928040,2235145,2135909,"5902.7499","0","0","0","35","535","B",
"35537","2021S0503537","Hamilton","0",785184,320081,307382,747545,747545,306034,293345,"1373.146","0","0","0","35","537","B",
"35539","2021S0503539","St. Catharines - Niagara","0",433604,190878,179224,406074,406074,180606,168485,"1397.0882","0","0","0","35","539","B",
"35541","2021S0503541","Kitchener - Cambridge - Waterloo","0",575847,229809,219060,523894,523894,210896,200495,"1092.3295","0","0","0","35","541","B",
"35543","2021S0503543","Brantford","0",144162,58047,56003,134203,134203,54419,52530,"1074.0011","0","1","1","35","543","B",
"35544","2021S0504544","Woodstock","0",46705,19528,18886,40902,41098,17601,17221,"56.4607","1","0","0","35","544","D",
"35546","2021S0504546","Tillsonburg","0",18615,8494,8229,15872,15872,7297,7127,"22.1987","0","0","0","35","546","D",
"35547","2021S0504547","Norfolk","0",67490,30085,27594,64044,64044,28720,26007,"1597.6846","0","0","0","35","547","D",
"35550","2021S0503550","Guelph","0",165588,67685,64175,151984,151984,63324,59280,"595.0842","0","0","0","35","550","B",
"35553","2021S0504553","Stratford","0",33232,15388,14743,31465,31470,14304,13849,"30.021","1","0","0","35","553","D",
"35555","2021S0503555","London","0",543551,235522,222239,494069,494069,220452,206448,"2661.4818","0","0","0","35","555","B",
"35556","2021S0504556","Chatham-Kent","0",104316,46921,44178,102042,102042,46287,43174,"2464.5232","0","0","0","35","556","D",
"35559","2021S0503559","Windsor","0",422630,174072,165665,329144,398718,168187,158960,"1803.1734","1","0","0","35","559","B",
"35562","2021S0504562","Sarnia","0",97592,45210,42581,96151,96151,44252,41989,"1117.1968","0","0","0","35","562","K",
